Name,Base Price,Role,Team,Nationality,Star or not,Player ID
Karun Nair,3,Batsman,DD,Indian,No,276
Suresh Raina,4,Batsman,GL,Indian,No,14
Brendon McCullum,5,Batsman,GL,Overseas,Yes,202
Aron Finch,5,Batsman,GL,Overseas,Yes,167
Jason Roy,3,Batsman,GL,Overseas,No,1906
David Miller,5,Batsman,KXIP,Overseas,Yes,187
Hashim Amla,4,Batsman,KXIP,Overseas,No,456
Eon Morgan,4,Batsman,KXIP,Overseas,No,197
Martin Guptill,4,Batsman,KXIP,Overseas,No,431
Shaun Marsh,4,Batsman,KXIP,Overseas,No,191
Gautam Gambhir,4,Batsman,KKR,Indian,No,84
Manish Pandey,3,Batsman,KKR,Indian,No,123
Chris lynn,2,Batsman,KKR,Overseas,No,179
Rohit Sharma,6,Batsman,MI,Indian,Yes,107
Ambati Rayudu,4,Batsman,MI,Indian,No,100
Lendl Simmons,4,Batsman,MI,Overseas,No,595
Ajinkya Rahane,4,Batsman,RPS,Indian,No,135
Steve Smith,4,Batsman,RPS,Overseas,No,271
Faf duPlessis,4,Batsman,RPS,Overseas,No,24
Usman Khwaja,2,Batsman,RPS,Overseas,No,948
Virat Kohli,7,Batsman,RCB,Indian,Yes,164
AB deVilliers,7,Batsman,RCB,Overseas,Yes,233
Chris Gayle,6,Batsman,RCB,Overseas,Yes,236
Kedar Jadhav,3,Batsman,RCB,Indian,No,297
David Warner,7,Batsman,SRH,Overseas,Yes,170
Shikhar Dhawan,3,Batsman,SRH,Indian,No,41
Kane Williamson,4,Batsman,SRH,Overseas,No,440
Quinton deKock,6,Keeper,DD,Overseas,Yes,834
Sam Billings,2,Keeper,DD,Overseas,No,2756
Sanju Samson,2,Keeper,DD,Indian,No,258
Rishabh Pant,2,Keeper,DD,Indian,No,2972
Dinesh Kartik,3,Keeper,GL,Indian,No,102
Wriddhiman Saha,2,Keeper,KXIP,Indian,No,16
Robin Uthappa,5,Keeper,KKR,Indian,Yes,127
Parthiv Patel,4,Keeper,MI,Indian,No,44
Jos Buttler,5,Keeper,MI,Overseas,Yes,509
MS Dhoni,6,Keeper,RPS,Indian,Yes,1
Naman Ojha,1,Keeper,SRH,Indian,No,52
Chris Morris,5,All Rounder,DD,Overseas,Yes,836
Carlos Braithwaite,4,All Rounder,DD,Overseas,No,2722
Corey Anderson,4,All Rounder,DD,Overseas,No,968
Angelo Mathews,3,All Rounder,DD,Overseas,No,217
Ravindra Jadeja,6,All Rounder,GL,Indian,Yes,9
James Faulkner,5,All Rounder,GL,Overseas,Yes,193
Dwayne Bravo,6,All Rounder,GL,Overseas,Yes,25
Dwayne Smith,5,All Rounder,GL,Overseas,Yes,413
Glenn Maxwell,5,All Rounder,KXIP,Overseas,Yes,282
Darren Sammy,3,All Rounder,KXIP,Overseas,No,589
Shakib Al Hasan,3,All Rounder,KKR,Overseas,No,201
Yusuf Pathan,3,All Rounder,KKR,Indian,No,96
Kieron Pollard,4,All Rounder,MI,Overseas,No,210
Hardik Pandya,3,All Rounder,MI,Indian,No,2740
Ben Stokes,6,All Rounder,RPS,Overseas,Yes,1154
Dan Christian,1,All Rounder,RPS,Overseas,No,181
Shane Watson,6,All Rounder,RCB,Overseas,Yes,227
Stuart Binny,1,All Rounder,RCB,Indian,No,148
Pawan Negi,2,All Rounder,RCB,Indian,No,53
Moises Henriques,3,All Rounder,SRH,Overseas,No,388
Yuvraj Singh,4,All Rounder,SRH,Indian,No,113
Ben Cutting,2,All Rounder,SRH,Overseas,No,913
Chris Jordon,3,All Rounder,SRH,Overseas,No,1299
Mohammed Nabi,1,All Rounder,SRH,Overseas,No,618
Zahir Khan,2,Bowler,DD,Indian,No,165
Mohammed Shami,3,Bowler,DD,Indian,No,94
Jayant Yadav,3,Bowler,DD,Indian,No,1740
Amit Mishra,3,Bowler,DD,Indian,No,30
Kagiso Rabada,3,Bowler,DD,Overseas,No,1664
Pat Cummins,3,Bowler,DD,Overseas,No,488
Pravin Kumar,3,Bowler,GL,Indian,No,77
Dhawal Kulkarni,3,Bowler,GL,Indian,No,101
Munaf Patel,1,Bowler,GL,Indian,No,104
Axar Patel,2,Bowler,KXIP,Indian,No,1113
Sandeep Sharma,3,Bowler,KXIP,Indian,No,1112
Mohit Sharma,1,Bowler,KXIP,Indian,No,11107
Varun Aron,1,Bowler,KXIP,Indian,No,61
Matt Henry,2,Bowler,KXIP,Overseas,No,1505
Sunil Narine,5,Bowler,KKR,Overseas,Yes,203
Piyush Chawla,4,Bowler,KKR,Indian,No,76
Umesh Yadav,4,Bowler,KKR,Indian,No,59
Trent Boult,4,Bowler,KKR,Overseas,No,969
Nathan Coulter-Nile,3,Bowler,KKR,Overseas,No,840
Chris Woakes,3,Bowler,KKR,Overseas,No,967
Kuldeep yadav,2,Bowler,KKR,Indian,No,261
